,BroadStreet,,,,,,JHU,,,NYT,,,USAF,,,Discrepancy?,,FILTER HERE,,,Case Comments,Death Comments,,,
,Date,County,State,Cases,Deaths,Column1,Cases-JHU,Deaths-JHU,Column4,Cases-NYT,Deaths-NYT,Column7,Cases-USAF,Deaths-USAF,Column10,Cases?,Deaths?,Any,,,,,,,
,,STATE TOTALS,Montana,59682,658,,59682,658,,59682,658,,59682,660,,No,Yes,Yes,,,,JHU=658; NYT=658; USAF=660 in STATE TOTALS,,,
,5/16/20,Unknown,Montana,0,0,,0,0,,0,0,,0,2,,No,Yes,Yes,,,,JHU=0; NYT=0; USAF=2 in Unknown,,,
,5/16/20,Beaverhead County,Montana,563,3,,563,3,,563,3,,563,3,,No,No,None,,,,,,,
,5/16/20,Big Horn County,Montana,1781,50,,1781,50,,1781,50,,1781,50,,No,No,None,,,,,,,
,5/16/20,Blaine County,Montana,513,18,,513,18,,513,18,,513,18,,No,No,None,,,,,,,
,5/16/20,Broadwater County,Montana,187,1,,187,1,,187,1,,187,1,,No,No,None,,,,,,,
,5/16/20,Carbon County,Montana,575,6,,575,6,,575,6,,575,6,,No,No,None,,,,,,,
,5/16/20,Carter County,Montana,110,3,,110,3,,110,3,,110,3,,No,No,None,,,,,,,
,5/16/20,Cascade County,Montana,4770,72,,4770,72,,4770,72,,4770,72,,No,No,None,,,,,,,
,5/16/20,Chouteau County,Montana,271,3,,271,3,,271,3,,271,3,,No,No,None,,,,,,,
,5/16/20,Custer County,Montana,701,6,,701,6,,701,6,,701,6,,No,No,None,,,,,,,
,5/16/20,Daniels County,Montana,110,4,,110,4,,110,4,,110,4,,No,No,None,,,,,,,
,5/16/20,Dawson County,Montana,613,8,,613,8,,613,8,,613,8,,No,No,None,,,,,,,
,5/16/20,Deer Lodge County,Montana,698,10,,698,10,,698,10,,698,10,,No,No,None,,,,,,,
,5/16/20,Fallon County,Montana,238,1,,238,1,,238,1,,238,1,,No,No,None,,,,,,,
,5/16/20,Fergus County,Montana,572,2,,572,2,,572,2,,572,2,,No,No,None,,,,,,,
,5/16/20,Flathead County,Montana,6458,39,,6458,39,,6458,39,,6458,39,,No,No,None,,,,,,,
,5/16/20,Gallatin County,Montana,7189,19,,7189,19,,7189,19,,7189,19,,No,No,None,,,,,,,
,5/16/20,Garfield County,Montana,64,2,,64,2,,64,2,,64,2,,No,No,None,,,,,,,
,5/16/20,Glacier County,Montana,1164,19,,1164,19,,1164,19,,1164,19,,No,No,None,,,,,,,
,5/16/20,Golden Valley County,Montana,24,0,,24,0,,24,0,,24,0,,No,No,None,,,,,,,
,5/16/20,Granite County,Montana,126,1,,126,1,,126,1,,126,1,,No,No,None,,,,,,,
,5/16/20,Hill County,Montana,1305,27,,1305,27,,1305,27,,1305,27,,No,No,None,,,,,,,
,5/16/20,Jefferson County,Montana,465,0,,465,0,,465,0,,465,0,,No,No,None,,,,,,,
,5/16/20,Judith Basin County,Montana,50,0,,50,0,,50,0,,50,0,,No,No,None,,,,,,,
,5/16/20,Lake County,Montana,993,13,,993,13,,993,13,,993,13,,No,No,None,,,,,,,
,5/16/20,Lewis and Clark County,Montana,2652,11,,2652,11,,2652,11,,2652,11,,No,No,None,,,,,,,
,5/16/20,Liberty County,Montana,82,1,,82,1,,82,1,,82,1,,No,No,None,,,,,,,
,5/16/20,Lincoln County,Montana,711,10,,711,10,,711,10,,711,10,,No,No,None,,,,,,,
,5/16/20,Madison County,Montana,401,2,,401,2,,401,2,,401,2,,No,No,None,,,,,,,
,5/16/20,McCone County,Montana,98,0,,98,0,,98,0,,98,0,,No,No,None,,,,,,,
,5/16/20,Meagher County,Montana,108,7,,108,7,,108,7,,108,7,,No,No,None,,,,,,,
,5/16/20,Mineral County,Montana,60,0,,60,0,,60,0,,60,0,,No,No,None,,,,,,,
,5/16/20,Missoula County,Montana,4482,42,,4482,42,,4482,42,,4482,42,,No,No,None,,,,,,,
,5/16/20,Musselshell County,Montana,207,2,,207,2,,207,2,,207,2,,No,No,None,,,,,,,
,5/16/20,Park County,Montana,603,3,,603,3,,603,3,,603,3,,No,No,None,,,,,,,
,5/16/20,Petroleum County,Montana,7,0,,7,0,,7,0,,7,0,,No,No,None,,,,,,,
,5/16/20,Phillips County,Montana,271,6,,271,6,,271,6,,271,6,,No,No,None,,,,,,,
,5/16/20,Pondera County,Montana,301,3,,301,3,,301,3,,301,3,,No,No,None,,,,,,,
,5/16/20,Powder River County,Montana,88,5,,88,5,,88,5,,88,5,,No,No,None,,,,,,,
,5/16/20,Powell County,Montana,652,3,,652,3,,652,3,,652,3,,No,No,None,,,,,,,
,5/16/20,Prairie County,Montana,75,0,,75,0,,75,0,,75,0,,No,No,None,,,,,,,
,5/16/20,Ravalli County,Montana,1453,13,,1453,13,,1453,13,,1453,13,,No,No,None,,,,,,,
,5/16/20,Richland County,Montana,501,7,,501,7,,501,7,,501,7,,No,No,None,,,,,,,
,5/16/20,Roosevelt County,Montana,1219,39,,1219,39,,1219,39,,1219,39,,No,No,None,,,,,,,
,5/16/20,Rosebud County,Montana,856,23,,856,23,,856,23,,856,23,,No,No,None,,,,,,,
,5/16/20,Sanders County,Montana,224,2,,224,2,,224,2,,224,2,,No,No,None,,,,,,,
,5/16/20,Sheridan County,Montana,267,2,,267,2,,267,2,,267,2,,No,No,None,,,,,,,
,5/16/20,Silver Bow County,Montana,2060,21,,2060,21,,2060,21,,2060,21,,No,No,None,,,,,,,
,5/16/20,Stillwater County,Montana,416,4,,416,4,,416,4,,416,4,,No,No,None,,,,,,,
,5/16/20,Sweet Grass County,Montana,249,3,,249,3,,249,3,,249,3,,No,No,None,,,,,,,
,5/16/20,Teton County,Montana,183,3,,183,3,,183,3,,183,3,,No,No,None,,,,,,,
,5/16/20,Toole County,Montana,596,8,,596,8,,596,8,,596,8,,No,No,None,,,,,,,
,5/16/20,Treasure County,Montana,28,1,,28,1,,28,1,,28,1,,No,No,None,,,,,,,
,5/16/20,Valley County,Montana,540,5,,540,5,,540,5,,540,5,,No,No,None,,,,,,,
,5/16/20,Wheatland County,Montana,99,3,,99,3,,99,3,,99,3,,No,No,None,,,,,,,
,5/16/20,Wibaux County,Montana,87,2,,87,2,,87,2,,87,2,,No,No,None,,,,,,,
,5/16/20,Yellowstone County,#VALUE!,10566,120,,10566,120,,10566,120,,10566,120,,No,No,None,,,,,,,
,5/16/20,#VALUE!,#VALUE!,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
