,BroadStreet,,,,,,JHU,,,NYT,,,USAF,,,Discrepancy?,,FILTER HERE,,,Case Comments,Death Comments,,,
,Date,County,State,Cases,Deaths,Column1,Cases-JHU,Deaths-JHU,Column4,Cases-NYT,Deaths-NYT,Column7,Cases-USAF,Deaths-USAF,Column10,Cases?,Deaths?,Any,,,,,,,
,,STATE TOTALS,Texas,985380,18851,,1021208,19425,,1050992,19544,,996111,18992,,Yes,Yes,Yes,,,JHU=1021208; NYT=1050992; USAF=996111 in STATE TOTALS,JHU=19425; NYT=19544; USAF=18992 in STATE TOTALS,,,
,6/17/20,Unknown,Texas,0,0,,0,0,,0,0,,0,0,,No,No,None,,,,,,,
,6/17/20,Anderson County,Texas,3035,42,,3035,42,,3035,42,,3035,42,,No,No,None,,,,,,,
,6/17/20,Andrews County,Texas,781,11,,781,11,,781,11,,781,11,,No,No,None,,,,,,,
,6/17/20,Angelina County,Texas,2380,93,,2380,93,,3170,93,,2380,93,,Yes,No,Yes,,,JHU=2380; NYT=3170; USAF=2380 in Angelina County,,,,
,6/17/20,Aransas County,Texas,369,18,,369,18,,369,18,,369,18,,No,No,None,,,,,,,
,6/17/20,Archer County,Texas,187,1,,187,1,,187,1,,187,1,,No,No,None,,,,,,,
,6/17/20,Armstrong County,Texas,33,1,,33,1,,33,1,,33,1,,No,No,None,,,,,,,
,6/17/20,Atascosa County,Texas,1338,37,,1338,37,,1338,37,,1338,37,,No,No,None,,,,,,,
,6/17/20,Austin County,Texas,533,10,,533,10,,533,10,,533,10,,No,No,None,,,,,,,
,6/17/20,Bailey County,Texas,385,5,,385,5,,385,5,,385,5,,No,No,None,,,,,,,
,6/17/20,Bandera County,Texas,205,10,,205,10,,205,10,,205,10,,No,No,None,,,,,,,
,6/17/20,Bastrop County,Texas,2101,33,,2101,33,,2101,33,,2101,33,,No,No,None,,,,,,,
,6/17/20,Baylor County,Texas,47,4,,47,4,,47,4,,47,4,,No,No,None,,,,,,,
,6/17/20,Bee County,Texas,1908,39,,1908,39,,1908,39,,1908,39,,No,No,None,,,,,,,
,6/17/20,Bell County,Texas,7088,104,,7088,104,,7088,104,,7088,104,,No,No,None,,,,,,,
,6/17/20,Bexar County,Texas,57645,1433,,68376,1438,,68388,1438,,68376,1438,,Yes,Yes,Yes,,,JHU=68376; NYT=68388; USAF=68376 in Bexar County,JHU=1438; NYT=1438; USAF=1438 in Bexar County,,,
,6/17/20,Blanco County,Texas,170,6,,170,6,,170,6,,170,6,,No,No,None,,,,,,,
,6/17/20,Borden County,Texas,3,0,,3,0,,3,0,,3,0,,No,No,None,,,,,,,
,6/17/20,Bosque County,Texas,469,14,,469,14,,469,14,,469,14,,No,No,None,,,,,,,
,6/17/20,Bowie County,Texas,2269,87,,2269,87,,2269,87,,2269,87,,No,No,None,,,,,,,
,6/17/20,Brazoria County,Texas,13059,189,,13059,189,,13059,189,,13059,189,,No,No,None,,,,,,,
,6/17/20,Brazos County,Texas,8189,83,,8247,85,,9543,85,,8189,85,,Yes,Yes,Yes,,,JHU=8247; NYT=9543; USAF=8189 in Brazos County,JHU=85; NYT=85; USAF=85 in Brazos County,,,
,6/17/20,Brewster County,Texas,290,5,,290,5,,290,5,,290,5,,No,No,None,,,,,,,
,6/17/20,Briscoe County,Texas,25,1,,25,1,,25,1,,25,1,,No,No,None,,,,,,,
,6/17/20,Brooks County,Texas,377,25,,377,25,,377,25,,377,25,,No,No,None,,,,,,,
,6/17/20,Brown County,Texas,786,28,,786,28,,1259,35,,786,28,,Yes,Yes,Yes,,,JHU=786; NYT=1259; USAF=786 in Brown County,JHU=28; NYT=35; USAF=28 in Brown County,,,
,6/17/20,Burleson County,Texas,514,6,,514,6,,514,6,,514,6,,No,No,None,,,,,,,
,6/17/20,Burnet County,Texas,1164,15,,1164,16,,1164,16,,1164,16,,No,Yes,Yes,,,,JHU=16; NYT=16; USAF=16 in Burnet County,,,
,6/17/20,Caldwell County,Texas,1772,39,,1772,39,,1772,39,,1772,39,,No,No,None,,,,,,,
,6/17/20,Calhoun County,Texas,948,9,,948,9,,948,9,,948,9,,No,No,None,,,,,,,
,6/17/20,Callahan County,Texas,172,6,,172,6,,172,6,,172,6,,No,No,None,,,,,,,
,6/17/20,Cameron County,Texas,24825,992,,24825,1094,,24825,1096,,24825,993,,No,Yes,Yes,,,,JHU=1094; NYT=1096; USAF=993 in Cameron County,,,
,6/17/20,Camp County,Texas,424,13,,424,13,,424,13,,424,13,,No,No,None,,,,,,,
,6/17/20,Carson County,Texas,71,1,,71,1,,71,1,,71,1,,No,No,None,,,,,,,
